,ID,Time,Type,Outcome,Tdate,Lower_insample,Upper_insample,Length_insample,Lower_gaussian,Upper_gaussian,Length_gaussian,Lower_joint,Upper_joint
0,West Germany,1960,Actual,2.284,1990.5,,,,,,,,
1,West Germany,1961,Actual,2.388,1990.5,,,,,,,,
2,West Germany,1962,Actual,2.527,1990.5,,,,,,,,
3,West Germany,1963,Actual,2.61,1990.5,,,,,,,,
4,West Germany,1964,Actual,2.806,1990.5,,,,,,,,
5,West Germany,1965,Actual,3.005,1990.5,,,,,,,,
6,West Germany,1966,Actual,3.168,1990.5,,,,,,,,
7,West Germany,1967,Actual,3.241,1990.5,,,,,,,,
8,West Germany,1968,Actual,3.571,1990.5,,,,,,,,
9,West Germany,1969,Actual,3.998,1990.5,,,,,,,,
10,West Germany,1970,Actual,4.367,1990.5,,,,,,,,
11,West Germany,1971,Actual,4.686,1990.5,,,,,,,,
12,West Germany,1972,Actual,5.055,1990.5,,,,,,,,
13,West Germany,1973,Actual,5.553,1990.5,,,,,,,,
14,West Germany,1974,Actual,6.074,1990.5,,,,,,,,
15,West Germany,1975,Actual,6.603,1990.5,,,,,,,,
16,West Germany,1976,Actual,7.367,1990.5,,,,,,,,
17,West Germany,1977,Actual,8.09,1990.5,,,,,,,,
18,West Germany,1978,Actual,8.928,1990.5,,,,,,,,
19,West Germany,1979,Actual,10.067,1990.5,,,,,,,,
20,West Germany,1980,Actual,11.083,1990.5,,,,,,,,
21,West Germany,1981,Actual,12.115,1990.5,,,,,,,,
22,West Germany,1982,Actual,12.761,1990.5,,,,,,,,
23,West Germany,1983,Actual,13.519,1990.5,,,,,,,,
24,West Germany,1984,Actual,14.481,1990.5,,,,,,,,
25,West Germany,1985,Actual,15.291,1990.5,,,,,,,,
26,West Germany,1986,Actual,15.998,1990.5,,,,,,,,
27,West Germany,1987,Actual,16.679,1990.5,,,,,,,,
28,West Germany,1988,Actual,17.786,1990.5,,,,,,,,
29,West Germany,1989,Actual,18.994,1990.5,,,,,,,,
30,West Germany,1990,Actual,20.465,1990.5,,,,,,,,
31,West Germany,1991,Actual,21.602,1990.5,17.025606708955603,25.12704502529287,8.101438316337266,16.06000281593884,25.92487156880067,9.864868752861828,8.864395197883868,31.174060852939768
32,West Germany,1992,Actual,22.154,1990.5,17.310266412080978,25.840615564365642,8.530349152284664,17.16115096998291,26.04400811704838,8.882857147065472,10.742795030690186,30.76039239166809
33,West Germany,1993,Actual,21.878,1990.5,17.5786957646043,26.27064194544153,8.691946180837228,17.448804659440555,26.408112694801204,8.95930803536065,10.498025303778318,30.377301264037786
34,West Germany,1994,Actual,22.371,1990.5,18.00906153931438,27.36916948225396,9.360107942939578,17.776325889425078,27.605827208543477,9.8295013191184,10.823952534071005,31.031432250603824
35,West Germany,1995,Actual,23.035,1990.5,18.28812815394761,28.377340634261433,10.089212480313822,17.81397692014433,28.761073914163617,10.947096994019287,11.095768676748785,31.934359071310524
36,West Germany,1996,Actual,23.742,1990.5,17.811674436596398,29.556549454789224,11.744875018192825,17.23648947150294,30.004657288666255,12.768167817163317,11.638637605280099,32.745936665192154
37,West Germany,1997,Actual,24.156,1990.5,18.572528600246823,30.84055979228501,12.268031192038187,18.350659804747924,30.991699690487664,12.64103988573974,12.626605929940037,32.677507036476484
38,West Germany,1998,Actual,24.931,1990.5,19.7184404913821,31.871011224150926,12.152570732768826,19.775466053233618,32.11465199890215,12.339185945668529,13.85467471314694,33.602776335509944
39,West Germany,1999,Actual,25.755,1990.5,19.372834877476194,33.223416526476306,13.850581649000112,18.952621609469297,33.55796553104974,14.605343921580442,13.903391849781713,34.57445835195638
40,West Germany,2000,Actual,26.943,1990.5,18.485703381661835,36.06793573343328,17.582232351771445,14.462938295734595,39.231742058145606,24.76880376241101,9.238983130969991,40.358636573676236
41,West Germany,2001,Actual,27.449,1990.5,18.511143907949087,37.000063347949954,18.488919440000867,17.245192258176875,38.10098312474552,20.855790866568643,14.223474990444402,37.513441135239255
42,West Germany,2002,Actual,28.348,1990.5,20.621154600077368,38.310154218258404,17.688999618181036,20.56760329995287,38.523584605852385,17.955981305899513,17.09204065822282,36.97069903082879
43,West Germany,2003,Actual,28.855,1990.5,21.3882714679593,39.35968748226845,17.97141601430915,21.425921583643817,39.53565224976735,18.109730666123536,17.74719896045559,37.41683547277823
44,West Germany,1960,Synthetic,2.255377549471434,1990.5,,,,,,,,
45,West Germany,1961,Synthetic,2.3855590327110363,1990.5,,,,,,,,
46,West Germany,1962,Synthetic,2.4967048519845196,1990.5,,,,,,,,
47,West Germany,1963,Synthetic,2.5985027753333645,1990.5,,,,,,,,
48,West Germany,1964,Synthetic,2.7552747822986383,1990.5,,,,,,,,
49,West Germany,1965,Synthetic,2.903741171478781,1990.5,,,,,,,,
50,West Germany,1966,Synthetic,3.0792374152091555,1990.5,,,,,,,,
51,West Germany,1967,Synthetic,3.240648937601065,1990.5,,,,,,,,
52,West Germany,1968,Synthetic,3.513133081110379,1990.5,,,,,,,,
53,West Germany,1969,Synthetic,3.915514502127847,1990.5,,,,,,,,
54,West Germany,1970,Synthetic,4.433228225619547,1990.5,,,,,,,,
55,West Germany,1971,Synthetic,4.853713289664202,1990.5,,,,,,,,
56,West Germany,1972,Synthetic,5.243451453444655,1990.5,,,,,,,,
57,West Germany,1973,Synthetic,5.740350590567881,1990.5,,,,,,,,
58,West Germany,1974,Synthetic,6.420329181115607,1990.5,,,,,,,,
59,West Germany,1975,Synthetic,6.74316844490134,1990.5,,,,,,,,
60,West Germany,1976,Synthetic,7.259461839236964,1990.5,,,,,,,,
61,West Germany,1977,Synthetic,8.012024727478911,1990.5,,,,,,,,
62,West Germany,1978,Synthetic,8.687757181051369,1990.5,,,,,,,,
63,West Germany,1979,Synthetic,9.74219057273616,1990.5,,,,,,,,
64,West Germany,1980,Synthetic,11.029983002536634,1990.5,,,,,,,,
65,West Germany,1981,Synthetic,12.208442997244791,1990.5,,,,,,,,
66,West Germany,1982,Synthetic,12.839772500222757,1990.5,,,,,,,,
67,West Germany,1983,Synthetic,13.54328814974474,1990.5,,,,,,,,
68,West Germany,1984,Synthetic,14.454206538446435,1990.5,,,,,,,,
69,West Germany,1985,Synthetic,15.380396566725334,1990.5,,,,,,,,
70,West Germany,1986,Synthetic,16.017175548894603,1990.5,,,,,,,,
71,West Germany,1987,Synthetic,16.661354106300685,1990.5,,,,,,,,
72,West Germany,1988,Synthetic,17.70794029166039,1990.5,,,,,,,,
73,West Germany,1989,Synthetic,19.054273611010597,1990.5,,,,,,,,
74,West Germany,1990,Synthetic,20.383797082070153,1990.5,,,,,,,,
75,West Germany,1991,Synthetic,21.019098432045322,1990.5,17.025606708955603,25.12704502529287,8.101438316337266,16.06000281593884,25.92487156880067,9.864868752861828,8.281493629929189,30.59115928498509
76,West Germany,1992,Synthetic,21.536315747453916,1990.5,17.310266412080978,25.840615564365642,8.530349152284664,17.16115096998291,26.04400811704838,8.882857147065472,10.125110778144101,30.142708139122007
77,West Germany,1993,Synthetic,21.887896569339542,1990.5,17.5786957646043,26.27064194544153,8.691946180837228,17.448804659440555,26.408112694801204,8.95930803536065,10.50792187311786,30.38719783337733
78,West Germany,1994,Synthetic,22.676685393301398,1990.5,18.00906153931438,27.36916948225396,9.360107942939578,17.776325889425078,27.605827208543477,9.8295013191184,11.129637927372404,31.337117643905223
79,West Germany,1995,Synthetic,23.358159331285606,1990.5,18.28812815394761,28.377340634261433,10.089212480313822,17.81397692014433,28.761073914163617,10.947096994019287,11.41892800803439,32.257518402596126
80,West Germany,1996,Synthetic,23.918861119006884,1990.5,17.811674436596398,29.556549454789224,11.744875018192825,17.23648947150294,30.004657288666255,12.768167817163317,11.815498724286982,32.922797784199034
81,West Germany,1997,Synthetic,25.0696023032673,1990.5,18.572528600246823,30.84055979228501,12.268031192038187,18.350659804747924,30.991699690487664,12.64103988573974,13.540208233207338,33.59110933974379
82,West Germany,1998,Synthetic,25.910679334742586,1990.5,19.7184404913821,31.871011224150926,12.152570732768826,19.775466053233618,32.11465199890215,12.339185945668529,14.834354047889525,34.58245567025253
83,West Germany,1999,Synthetic,26.651018175866472,1990.5,19.372834877476194,33.223416526476306,13.850581649000112,18.952621609469297,33.55796553104974,14.605343921580442,14.799410025648186,35.47047652782285
84,West Germany,2000,Synthetic,28.64403966997524,1990.5,18.485703381661835,36.06793573343328,17.582232351771445,14.462938295734595,39.231742058145606,24.76880376241101,10.94002280094523,42.059676243651474
85,West Germany,2001,Synthetic,29.262269430200305,1990.5,18.511143907949087,37.000063347949954,18.488919440000867,17.245192258176875,38.10098312474552,20.855790866568643,16.036744420644705,39.326710565439555
86,West Germany,2002,Synthetic,30.595811094558773,1990.5,20.621154600077368,38.310154218258404,17.688999618181036,20.56760329995287,38.523584605852385,17.955981305899513,19.3398517527816,39.21851012538756
87,West Germany,2003,Synthetic,31.36493532663383,1990.5,21.3882714679593,39.35968748226845,17.97141601430915,21.425921583643817,39.53565224976735,18.109730666123536,20.25713428708942,39.92677079941206
88,Italy,1960,Actual,1.62,1991.5,,,,,,,,
89,Italy,1961,Actual,1.763,1991.5,,,,,,,,
90,Italy,1962,Actual,1.9,1991.5,,,,,,,,
91,Italy,1963,Actual,2.021,1991.5,,,,,,,,
92,Italy,1964,Actual,2.093,1991.5,,,,,,,,
93,Italy,1965,Actual,2.205,1991.5,,,,,,,,
94,Italy,1966,Actual,2.4,1991.5,,,,,,,,
95,Italy,1967,Actual,2.624,1991.5,,,,,,,,
96,Italy,1968,Actual,2.91,1991.5,,,,,,,,
97,Italy,1969,Actual,3.227,1991.5,,,,,,,,
98,Italy,1970,Actual,3.602,1991.5,,,,,,,,
99,Italy,1971,Actual,3.834,1991.5,,,,,,,,
100,Italy,1972,Actual,4.101,1991.5,,,,,,,,
101,Italy,1973,Actual,4.594,1991.5,,,,,,,,
102,Italy,1974,Actual,5.24,1991.5,,,,,,,,
103,Italy,1975,Actual,5.601,1991.5,,,,,,,,
104,Italy,1976,Actual,6.288,1991.5,,,,,,,,
105,Italy,1977,Actual,6.821,1991.5,,,,,,,,
106,Italy,1978,Actual,7.542,1991.5,,,,,,,,
107,Italy,1979,Actual,8.594,1991.5,,,,,,,,
108,Italy,1980,Actual,9.643,1991.5,,,,,,,,
109,Italy,1981,Actual,10.593,1991.5,,,,,,,,
110,Italy,1982,Actual,11.275,1991.5,,,,,,,,
111,Italy,1983,Actual,11.812,1991.5,,,,,,,,
112,Italy,1984,Actual,12.543,1991.5,,,,,,,,
113,Italy,1985,Actual,13.285,1991.5,,,,,,,,
114,Italy,1986,Actual,13.896,1991.5,,,,,,,,
115,Italy,1987,Actual,14.688,1991.5,,,,,,,,
116,Italy,1988,Actual,15.784,1991.5,,,,,,,,
117,Italy,1989,Actual,16.875,1991.5,,,,,,,,
118,Italy,1990,Actual,17.946,1991.5,,,,,,,,
119,Italy,1991,Actual,18.845,1991.5,,,,,,,,
120,Italy,1992,Actual,19.367,1991.5,16.145800307399487,23.370088906415727,7.224288599016241,15.889555557109901,23.57068009451017,7.681124537400269,6.82222461502551,25.980159518098557
121,Italy,1993,Actual,19.778,1991.5,16.6645699646266,24.055374617729058,7.390804653102457,16.566378335631832,24.463975768109346,7.8975974324775144,7.48635394774265,26.724297026048937
122,Italy,1994,Actual,20.577,1991.5,17.17178025164047,24.843006800743797,7.671226549103327,17.07764483132764,25.441691884194714,8.364047052867075,8.291850152237759,27.827725174915848
123,Italy,1995,Actual,21.532,1991.5,17.558745118671872,25.764565055459208,8.205819936787336,17.326493248689445,26.226715583148653,8.900222334459208,9.02565031476721,28.564058813191384
124,Italy,1996,Actual,22.235,1991.5,17.659373024033997,27.185292231093534,9.525919207059538,17.235535898156904,27.787218048054783,10.551682149897879,9.421817728445799,29.490915358471
125,Italy,1997,Actual,22.81,1991.5,18.174987603164453,28.414459654965963,10.23947205180151,18.050599337099023,29.154525189624756,11.103925852525734,10.47639883033146,30.28715246075694
126,Italy,1998,Actual,23.84,1991.5,18.948163152911135,28.970126374239655,10.02196322132852,19.118498165219826,29.499169488533312,10.380671323313486,11.978411696511388,30.979190362838317
127,Italy,1999,Actual,24.402,1991.5,17.621744266205713,29.744163514993843,12.12241924878813,17.604196233005236,30.154721777187447,12.55052554418221,12.239508370155129,31.35143143050295
128,Italy,2000,Actual,25.759,1991.5,14.777078518462432,31.399096887157448,16.622018368695016,14.280218718253886,32.43988483103182,18.159666112777934,12.828868561764914,33.71777321050374
129,Italy,2001,Actual,26.586,1991.5,15.766823424429559,32.75043874258892,16.98361531815936,15.752904915721237,33.53049183790084,17.7775869221796,14.429321220323809,34.12719437566625
130,Italy,2002,Actual,27.32,1991.5,18.280683230144376,34.50228963773225,16.22160640758787,18.364236920520547,35.591054784398374,17.226817863877827,15.319427423798953,35.355610904241274
131,Italy,2003,Actual,27.537,1991.5,19.117568910889027,35.41520132225565,16.29763241136662,18.78870197687236,35.73977976511585,16.951077788243488,14.875916852441,34.3487308010139
132,Italy,1960,Synthetic,1.5641407187487724,1991.5,,,,,,,,
133,Italy,1961,Synthetic,1.6865811691338983,1991.5,,,,,,,,
134,Italy,1962,Synthetic,1.8002916942640534,1991.5,,,,,,,,
135,Italy,1963,Synthetic,1.9349604909594904,1991.5,,,,,,,,
136,Italy,1964,Synthetic,2.1175763104139493,1991.5,,,,,,,,
137,Italy,1965,Synthetic,2.255536240054073,1991.5,,,,,,,,
138,Italy,1966,Synthetic,2.4740356337419858,1991.5,,,,,,,,
139,Italy,1967,Synthetic,2.6786134361736686,1991.5,,,,,,,,
140,Italy,1968,Synthetic,3.0075034910161085,1991.5,,,,,,,,
141,Italy,1969,Synthetic,3.3659148755096475,1991.5,,,,,,,,
142,Italy,1970,Synthetic,3.6919943291317026,1991.5,,,,,,,,
143,Italy,1971,Synthetic,3.978432754175876,1991.5,,,,,,,,
144,Italy,1972,Synthetic,4.360733500475309,1991.5,,,,,,,,
145,Italy,1973,Synthetic,4.900874667857307,1991.5,,,,,,,,
146,Italy,1974,Synthetic,5.252457028283356,1991.5,,,,,,,,
147,Italy,1975,Synthetic,5.757530321065065,1991.5,,,,,,,,
148,Italy,1976,Synthetic,6.245896223919656,1991.5,,,,,,,,
149,Italy,1977,Synthetic,6.811384361539403,1991.5,,,,,,,,
150,Italy,1978,Synthetic,7.540457131251914,1991.5,,,,,,,,
151,Italy,1979,Synthetic,8.43201636262768,1991.5,,,,,,,,
152,Italy,1980,Synthetic,9.192392521981766,1991.5,,,,,,,,
153,Italy,1981,Synthetic,10.101194684852787,1991.5,,,,,,,,
154,Italy,1982,Synthetic,10.924210165287596,1991.5,,,,,,,,
155,Italy,1983,Synthetic,11.57432720139811,1991.5,,,,,,,,
156,Italy,1984,Synthetic,12.298146034641835,1991.5,,,,,,,,
157,Italy,1985,Synthetic,13.139540611706028,1991.5,,,,,,,,
158,Italy,1986,Synthetic,13.819973781274223,1991.5,,,,,,,,
159,Italy,1987,Synthetic,14.696642267560648,1991.5,,,,,,,,
160,Italy,1988,Synthetic,15.988661260551918,1991.5,,,,,,,,
161,Italy,1989,Synthetic,17.151692849510027,1991.5,,,,,,,,
162,Italy,1990,Synthetic,18.307744594488398,1991.5,,,,,,,,
163,Italy,1991,Synthetic,19.11354328640374,1991.5,,,,,,,,
164,Italy,1992,Synthetic,19.635443673708775,1991.5,16.145800307399487,23.370088906415727,7.224288599016241,15.889555557109901,23.57068009451017,7.681124537400269,7.090668288734284,26.24860319180733
165,Italy,1993,Synthetic,20.275971412255586,1991.5,16.6645699646266,24.055374617729058,7.390804653102457,16.566378335631832,24.463975768109346,7.8975974324775144,7.984325359998238,27.222268438304525
166,Italy,1994,Synthetic,21.15974720443438,1991.5,17.17178025164047,24.843006800743797,7.671226549103327,17.07764483132764,25.441691884194714,8.364047052867075,8.874597356672139,28.410472379350228
167,Italy,1995,Synthetic,22.012097393100177,1991.5,17.558745118671872,25.764565055459208,8.205819936787336,17.326493248689445,26.226715583148653,8.900222334459208,9.505747707867387,29.04415620629156
168,Italy,1996,Synthetic,23.13116002672111,1991.5,17.659373024033997,27.185292231093534,9.525919207059538,17.235535898156904,27.787218048054783,10.551682149897879,10.317977755166908,30.387075385192105
169,Italy,1997,Synthetic,24.16609984708358,1991.5,18.174987603164453,28.414459654965963,10.23947205180151,18.050599337099023,29.154525189624756,11.103925852525734,11.83249867741504,31.64325230784052
170,Italy,1998,Synthetic,24.56283922774292,1991.5,18.948163152911135,28.970126374239655,10.02196322132852,19.118498165219826,29.499169488533312,10.380671323313486,12.701250924254309,31.702029590581233
171,Italy,1999,Synthetic,25.10066014653396,1991.5,17.621744266205713,29.744163514993843,12.12241924878813,17.604196233005236,30.154721777187447,12.55052554418221,12.938168516689089,32.05009157703691
172,Italy,2000,Synthetic,26.549192848029385,1991.5,14.777078518462432,31.399096887157448,16.622018368695016,14.280218718253886,32.43988483103182,18.159666112777934,13.619061409794298,34.50796605853313
173,Italy,2001,Synthetic,27.54845371699551,1991.5,15.766823424429559,32.75043874258892,16.98361531815936,15.752904915721237,33.53049183790084,17.7775869221796,15.39177493731932,35.08964809266176
174,Italy,2002,Synthetic,28.7400031418081,1991.5,18.280683230144376,34.50228963773225,16.22160640758787,18.364236920520547,35.591054784398374,17.226817863877827,16.73943056560705,36.77561404604937
175,Italy,2003,Synthetic,29.543235544802112,1991.5,19.117568910889027,35.41520132225565,16.29763241136662,18.78870197687236,35.73977976511585,16.951077788243488,16.88215239724311,36.35496634581602
